year,category,laureates,shared_count
1922,Peace,['Fridtjof Nansen'],1
1922,Physics,['Niels Henrik David Bohr'],1
1922,Physiology or Medicine,"['Archibald Vivian Hill', 'Otto Fritz Meyerhof']",2
1923,Chemistry,['Fritz Pregl'],1
1923,Literature,['William Butler Yeats'],1
1923,Peace,,0
1923,Physics,['Robert Andrews Millikan'],1
1923,Physiology or Medicine,"['Frederick Grant Banting', 'John James Rickard Macleod']",2
1924,Chemistry,,0
1924,Literature,['Władysław Stanisław Reymont'],1
1924,Peace,,0
1924,Physics,['Karl Manne Georg Siegbahn'],1
1924,Physiology or Medicine,['Willem Einthoven'],1
1925,Chemistry,['Richard Adolf Zsigmondy'],1
1925,Literature,['George Bernard Shaw'],1
1925,Peace,"['Sir Austen Chamberlain', 'Charles Gates Dawes']",2
1925,Physics,"['James Franck', 'Gustav Ludwig Hertz']",2
1925,Physiology or Medicine,,0
1926,Chemistry,['The (Theodor) Svedberg'],1
1926,Literature,['Grazia Deledda'],1
1926,Peace,"['Aristide Briand', 'Gustav Stresemann']",2
1926,Physics,['Jean Baptiste Perrin'],1
1926,Physiology or Medicine,['Johannes Andreas Grib Fibiger'],1
1927,Chemistry,['Heinrich Otto Wieland'],1
1927,Literature,['Henri Bergson'],1
1927,Peace,"['Ferdinand Buisson', 'Ludwig Quidde']",2
1927,Physics,"['Arthur Holly Compton', 'Charles Thomson Rees Wilson']",2
1927,Physiology or Medicine,['Julius Wagner-Jauregg'],1
1928,Chemistry,['Adolf Otto Reinhold Windaus'],1
1928,Literature,['Sigrid Undset'],1
1928,Peace,,0
1928,Physics,['Owen Willans Richardson'],1
1928,Physiology or Medicine,['Charles Jules Henri Nicolle'],1
1929,Chemistry,"['Arthur Harden', 'Hans Karl August Simon von Euler-Chelpin']",2
1929,Literature,['Thomas Mann'],1
1929,Peace,['Frank Billings Kellogg'],1
1929,Physics,['Prince Louis-Victor Pierre Raymond de Broglie'],1
1929,Physiology or Medicine,"['Christiaan Eijkman', 'Sir Frederick Gowland Hopkins']",2
1930,Chemistry,['Hans Fischer'],1
1930,Literature,['Sinclair Lewis'],1
1930,Peace,['Lars Olof Jonathan (Nathan) Söderblom'],1
1930,Physics,['Sir Chandrasekhara Venkata Raman'],1
1930,Physiology or Medicine,['Karl Landsteiner'],1
1931,Chemistry,"['Carl Bosch', 'Friedrich Bergius']",2
1931,Literature,['Erik Axel Karlfeldt'],1
1931,Peace,"['Jane Addams', 'Nicholas Murray Butler']",2
1931,Physics,,0
1931,Physiology or Medicine,['Otto Heinrich Warburg'],1
1932,Chemistry,['Irving Langmuir'],1
1932,Literature,['John Galsworthy'],1
1932,Peace,,0
1932,Physics,['Werner Karl Heisenberg'],1
1932,Physiology or Medicine,"['Sir Charles Scott Sherrington', 'Edgar Douglas Adrian']",2
1933,Chemistry,,0
1933,Literature,['Ivan Alekseyevich Bunin'],1
1933,Peace,['Sir Norman Angell (Ralph Lane)'],1
1933,Physics,"['Erwin Schrödinger', 'Paul Adrien Maurice Dirac']",2
1933,Physiology or Medicine,['Thomas Hunt Morgan'],1
1934,Chemistry,['Harold Clayton Urey'],1
1934,Literature,['Luigi Pirandello'],1
1934,Peace,['Arthur Henderson'],1
1934,Physics,,0
1934,Physiology or Medicine,"['George Hoyt Whipple', 'George Richards Minot', 'William Parry Murphy']",3
1935,Chemistry,"['Frédéric Joliot', 'Irène Joliot-Curie']",2
1935,Literature,,0
1935,Peace,['Carl von Ossietzky'],1
1935,Physics,['James Chadwick'],1
1935,Physiology or Medicine,['Hans Spemann'],1
1936,Chemistry,['Petrus (Peter) Josephus Wilhelmus Debye'],1
1936,Literature,"[""Eugene Gladstone O'Neill""]",1
1936,Peace,['Carlos Saavedra Lamas'],1
1936,Physics,"['Victor Franz Hess', 'Carl David Anderson']",2
1936,Physiology or Medicine,"['Sir Henry Hallett Dale', 'Otto Loewi']",2
1937,Chemistry,"['Walter Norman Haworth', 'Paul Karrer']",2
1937,Literature,['Roger Martin du Gard'],1
1937,Peace,"['Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood']",1
1937,Physics,"['Clinton Joseph Davisson', 'George Paget Thomson']",2
1937,Physiology or Medicine,['Albert von Szent-Györgyi Nagyrápolt'],1
1938,Chemistry,['Richard Kuhn'],1
1938,Literature,['Pearl Buck'],1
1938,Peace,['Nansen International Office for Refugees'],1
1938,Physics,['Enrico Fermi'],1
1938,Physiology or Medicine,['Corneille Jean François Heymans'],1
1939,Chemistry,"['Adolf Friedrich Johann Butenandt', 'Leopold Ruzicka']",2
1939,Literature,['Frans Eemil Sillanpää'],1
1939,Peace,,0
1939,Physics,['Ernest Orlando Lawrence'],1
