year,category,laureates,shared_count
1992,Physiology or Medicine,"['Edmond H. Fischer', 'Edwin G. Krebs']",2
1993,Chemistry,"['Kary B. Mullis', 'Michael Smith']",2
1993,Economic Sciences,"['Robert W. Fogel', 'Douglass C. North']",2
1993,Literature,['Toni Morrison'],1
1993,Peace,"['Nelson Rolihlahla Mandela', 'Frederik Willem de Klerk']",2
1993,Physics,"['Russell A. Hulse', 'Joseph H. Taylor Jr.']",2
1993,Physiology or Medicine,"['Richard J. Roberts', 'Phillip A. Sharp']",2
1994,Chemistry,['George A. Olah'],1
1994,Economic Sciences,"['John C. Harsanyi', 'John F. Nash Jr.', 'Reinhard Selten']",3
1994,Literature,['Kenzaburo Oe'],1
1994,Peace,"['Yasser Arafat', 'Shimon Peres', 'Yitzhak Rabin']",3
1994,Physics,"['Bertram N. Brockhouse', 'Clifford G. Shull']",2
1994,Physiology or Medicine,"['Alfred G. Gilman', 'Martin Rodbell']",2
1995,Chemistry,"['Paul J. Crutzen', 'Mario J. Molina', 'F. Sherwood Rowland']",3
1995,Economic Sciences,['Robert E. Lucas Jr.'],1
1995,Literature,['Seamus Heaney'],1
1995,Peace,"['Joseph Rotblat', 'Pugwash Conferences on Science and World Affairs']",2
1995,Physics,"['Martin L. Perl', 'Frederick Reines']",2
1995,Physiology or Medicine,"['Edward B. Lewis', 'Christiane Nüsslein-Volhard', 'Eric F. Wieschaus']",3
1996,Chemistry,"['Robert F. Curl Jr.', 'Sir Harold W. Kroto', 'Richard E. Smalley']",3
1996,Economic Sciences,"['James A. Mirrlees', 'William Vickrey']",2
1996,Literature,['Wisława Szymborska'],1
1996,Peace,"['Carlos Filipe Ximenes Belo', 'José Ramos-Horta']",2
1996,Physics,"['David M. Lee', 'Douglas D. Osheroff', 'Robert C. Richardson']",3
1996,Physiology or Medicine,"['Peter C. Doherty', 'Rolf M. Zinkernagel']",2
1997,Chemistry,"['Paul D. Boyer', 'John E. Walker', 'Jens C. Skou']",3
1997,Economic Sciences,"['Robert C. Merton', 'Myron S. Scholes']",2
1997,Literature,['Dario Fo'],1
1997,Peace,"['International Campaign to Ban Landmines', 'Jody Williams']",2
1997,Physics,"['Steven Chu', 'Claude Cohen-Tannoudji', 'William D. Phillips']",3
1997,Physiology or Medicine,['Stanley B. Prusiner'],1
1998,Chemistry,"['Walter Kohn', 'John A. Pople']",2
1998,Economic Sciences,['Amartya Sen'],1
1998,Literature,['José Saramago'],1
1998,Peace,"['John Hume', 'David Trimble']",2
1998,Physics,"['Robert B. Laughlin', 'Horst L. Störmer', 'Daniel C. Tsui']",3
1998,Physiology or Medicine,"['Robert F. Furchgott', 'Louis J. Ignarro', 'Ferid Murad']",3
1999,Chemistry,['Ahmed H. Zewail'],1
1999,Economic Sciences,['Robert A. Mundell'],1
1999,Literature,['Günter Grass'],1
1999,Peace,['Doctors Without Borders'],1
1999,Physics,"[""Gerardus 't Hooft"", 'Martinus J.G. Veltman']",2
1999,Physiology or Medicine,['Günter Blobel'],1
2000,Chemistry,"['Alan J. Heeger', 'Alan G. MacDiarmid', 'Hideki Shirakawa']",3
2000,Economic Sciences,"['James J. Heckman', 'Daniel L. McFadden']",2
2000,Literature,['Gao Xingjian'],1
2000,Peace,['Kim Dae-jung'],1
2000,Physics,"['Zhores I. Alferov', 'Herbert Kroemer', 'Jack S. Kilby']",3
2000,Physiology or Medicine,"['Arvid Carlsson', 'Paul Greengard', 'Eric R. Kandel']",3
2001,Chemistry,"['William S. Knowles', 'Ryoji Noyori', 'K. Barry Sharpless']",3
2001,Economic Sciences,"['George A. Akerlof', 'A. Michael Spence', 'Joseph E. Stiglitz']",3
2001,Literature,['Sir Vidiadhar Surajprasad Naipaul'],1
2001,Peace,"['United Nations', 'Kofi Atta Annan']",2
2001,Physics,"['Eric A. Cornell', 'Wolfgang Ketterle', 'Carl E. Wieman']",3
2001,Physiology or Medicine,"['Leland H. Hartwell', 'Tim Hunt', 'Sir Paul M. Nurse']",3
2002,Chemistry,"['John B. Fenn', 'Koichi Tanaka', 'Kurt Wüthrich']",3
2002,Economic Sciences,"['Daniel Kahneman', 'Vernon L. Smith']",2
2002,Literature,['Imre Kertész'],1
2002,Peace,['James Earl Carter'],1
2002,Physics,"['Raymond Davis Jr.', 'Masatoshi Koshiba', 'Riccardo Giacconi']",3
2002,Physiology or Medicine,"['Sydney Brenner', 'H. Robert Horvitz', 'John E. Sulston']",3
2003,Chemistry,"['Peter Agre', 'Roderick MacKinnon']",2
2003,Economic Sciences,"['Robert F. Engle III', 'Clive W.J. Granger']",2
2003,Literature,['John M. Coetzee'],1
2003,Peace,['Shirin Ebadi'],1
2003,Physics,"['Alexei Alexeyevich Abrikosov', 'Vitaly Lazarevich Ginzburg', 'Anthony J. Leggett']",3
2003,Physiology or Medicine,"['Paul C. Lauterbur', 'Sir Peter Mansfield']",2
2004,Chemistry,"['Aaron Ciechanover', 'Avram Hershko', 'Irwin Rose']",3
2004,Economic Sciences,"['Finn E. Kydland', 'Edward C. Prescott']",2
2004,Literature,['Elfriede Jelinek'],1
2004,Peace,['Wangari Muta Maathai'],1
2004,Physics,"['David J. Gross', 'H. David Politzer', 'Frank Wilczek']",3
2004,Physiology or Medicine,"['Richard Axel', 'Linda B. Buck']",2
2005,Chemistry,"['Yves Chauvin', 'Robert H. Grubbs', 'Richard R. Schrock']",3
2005,Economic Sciences,"['Robert J. Aumann', 'Thomas C. Schelling']",2
2005,Literature,['Harold Pinter'],1
2005,Peace,"['International Atomic Energy Agency', 'Mohamed ElBaradei']",2
2005,Physics,"['Roy J. Glauber', 'John L. Hall', 'Theodor W. Hänsch']",3
2005,Physiology or Medicine,"['Barry J. Marshall', 'J. Robin Warren']",2
2006,Chemistry,['Roger D. Kornberg'],1
2006,Economic Sciences,['Edmund S. Phelps'],1
2006,Literature,['Orhan Pamuk'],1
2006,Peace,"['Muhammad Yunus', 'Grameen Bank']",2
2006,Physics,"['John C. Mather', 'George F. Smoot']",2
2006,Physiology or Medicine,"['Andrew Z. Fire', 'Craig C. Mello']",2
2007,Chemistry,['Gerhard Ertl'],1
2007,Economic Sciences,"['Leonid Hurwicz', 'Eric S. Maskin', 'Roger B. Myerson']",3
2007,Literature,['Doris Lessing'],1
2007,Peace,"['Intergovernmental Panel on Climate Change', 'Albert Arnold (Al) Gore  Jr.']",2
2007,Physics,"['Albert Fert', 'Peter Grünberg']",2
2007,Physiology or Medicine,"['Mario R. Capecchi', 'Sir Martin J. Evans', 'Oliver Smithies']",3
2008,Chemistry,"['Osamu Shimomura', 'Martin Chalfie', 'Roger Y. Tsien']",3
2008,Economic Sciences,['Paul Krugman'],1
2008,Literature,['Jean-Marie Gustave Le Clézio'],1
2008,Peace,['Martti Ahtisaari'],1
2008,Physics,"['Yoichiro Nambu', 'Makoto Kobayashi', 'Toshihide Maskawa']",3
2008,Physiology or Medicine,"['Harald zur Hausen', 'Françoise Barré-Sinoussi', 'Luc Montagnier']",3
2009,Chemistry,"['Venkatraman Ramakrishnan', 'Thomas A. Steitz', 'Ada E. Yonath']",3
2009,Economic Sciences,"['Elinor Ostrom', 'Oliver E. Williamson']",2
2009,Literature,['Herta Müller'],1
2009,Peace,['Barack Hussein Obama'],1
2009,Physics,"['Charles Kuen Kao', 'Willard S. Boyle', 'George E. Smith']",3
2009,Physiology or Medicine,"['Elizabeth H. Blackburn', 'Carol W. Greider', 'Jack W. Szostak']",3
2010,Chemistry,"['Richard F. Heck', 'Ei-ichi Negishi', 'Akira Suzuki']",3
2010,Economic Sciences,"['Peter A. Diamond', 'Dale T. Mortensen', 'Christopher A. Pissarides']",3
2010,Literature,['Mario Vargas Llosa'],1
2010,Peace,['Liu Xiaobo'],1
2010,Physics,"['Andre Geim', 'Konstantin Novoselov']",2
2010,Physiology or Medicine,['Robert G. Edwards'],1
2011,Chemistry,['Dan Shechtman'],1
2011,Economic Sciences,"['Thomas J. Sargent', 'Christopher A. Sims']",2
2011,Literature,['Tomas Tranströmer'],1
2011,Peace,"['Ellen Johnson Sirleaf', 'Leymah Gbowee', 'Tawakkol Karman']",3
2011,Physics,"['Saul Perlmutter', 'Brian P. Schmidt', 'Adam G. Riess']",3
2011,Physiology or Medicine,"['Bruce A. Beutler', 'Jules A. Hoffmann', 'Ralph M. Steinman']",3
2012,Chemistry,"['Robert J. Lefkowitz', 'Brian K. Kobilka']",2
2012,Economic Sciences,"['Alvin E. Roth', 'Lloyd S. Shapley']",2
2012,Literature,['Mo Yan'],1
2012,Peace,['European Union'],1
2012,Physics,"['Serge Haroche', 'David J. Wineland']",2
2012,Physiology or Medicine,"['Sir John B. Gurdon', 'Shinya Yamanaka']",2
2013,Chemistry,"['Martin Karplus', 'Michael Levitt', 'Arieh Warshel']",3
2013,Economic Sciences,"['Eugene F. Fama', 'Lars Peter Hansen', 'Robert J. Shiller']",3
2013,Literature,['Alice Munro'],1
2013,Peace,['Organisation for the Prohibition of Chemical Weapons'],1
2013,Physics,"['François Englert', 'Peter W. Higgs']",2
2013,Physiology or Medicine,"['James E. Rothman', 'Randy W. Schekman', 'Thomas C. Südhof']",3
2014,Chemistry,"['Eric Betzig', 'Stefan W. Hell', 'William E. Moerner']",3
2014,Economic Sciences,['Jean Tirole'],1
2014,Literature,['Patrick Modiano'],1
2014,Peace,"['Kailash Satyarthi', 'Malala Yousafzai']",2
2014,Physics,"['Isamu Akasaki', 'Hiroshi Amano', 'Shuji Nakamura']",3
2014,Physiology or Medicine,"[""John O'Keefe"", 'May-Britt Moser', 'Edvard I. Moser']",3
2015,Chemistry,"['Tomas Lindahl', 'Paul Modrich', 'Aziz Sancar']",3
2015,Economic Sciences,['Angus Deaton'],1
2015,Literature,['Svetlana Alexievich'],1
2015,Peace,['National Dialogue Quartet'],1
2015,Physics,"['Takaaki Kajita', 'Arthur B. McDonald']",2
2015,Physiology or Medicine,"['William C. Campbell', 'Satoshi Ōmura', 'Tu Youyou']",3
2016,Chemistry,"['Jean-Pierre Sauvage', 'Sir J. Fraser Stoddart', 'Bernard L. Feringa']",3
2016,Economic Sciences,"['Oliver Hart', 'Bengt Holmström']",2
2016,Literature,['Bob Dylan'],1
2016,Peace,['Juan Manuel Santos'],1
2016,Physics,"['David J. Thouless', 'F. Duncan M. Haldane', 'J. Michael Kosterlitz']",3
2016,Physiology or Medicine,['Yoshinori Ohsumi'],1
2017,Chemistry,"['Jacques Dubochet', 'Joachim Frank', 'Richard Henderson']",3
2017,Economic Sciences,['Richard H. Thaler'],1
2017,Literature,['Kazuo Ishiguro'],1
2017,Peace,['International Campaign to Abolish Nuclear Weapons'],1
2017,Physics,"['Rainer Weiss', 'Barry C. Barish', 'Kip S. Thorne']",3
2017,Physiology or Medicine,"['Jeffrey C. Hall', 'Michael Rosbash', 'Michael W. Young']",3
2018,Chemistry,"['Frances H. Arnold', 'George P. Smith', 'Sir Gregory P. Winter']",3
2018,Economic Sciences,"['William D. Nordhaus', 'Paul M. Romer']",2
2018,Literature,['Olga Tokarczuk'],1
2018,Peace,"['Denis Mukwege', 'Nadia Murad Basee Taha']",2
2018,Physics,"['Arthur Ashkin', 'Gérard Mourou', 'Donna Strickland']",3
2018,Physiology or Medicine,"['James P. Allison', 'Tasuku Honjo']",2
2019,Chemistry,"['John B. Goodenough', 'M. Stanley Whittingham', 'Akira Yoshino']",3
2019,Economic Sciences,"['Abhijit Banerjee', 'Esther Duflo', 'Michael Kremer']",3
2019,Literature,['Peter Handke'],1
2019,Peace,['Abiy Ahmed Ali'],1
2019,Physics,"['James Peebles', 'Michel Mayor', 'Didier Queloz']",3
2019,Physiology or Medicine,"['William G. Kaelin Jr', 'Sir Peter J. Ratcliffe', 'Gregg L. Semenza']",3
2020,Chemistry,"['Emmanuelle Charpentier', 'Jennifer A. Doudna']",2
2020,Economic Sciences,"['Paul R. Milgrom', 'Robert B. Wilson']",2
2020,Literature,['Louise Glück'],1
2020,Peace,['World Food Programme'],1
2020,Physics,"['Roger Penrose', 'Reinhard Genzel', 'Andrea Ghez']",3
2020,Physiology or Medicine,"['Harvey J. Alter', 'Michael Houghton', 'Charles M. Rice']",3
2021,Chemistry,"['Benjamin List', 'David W.C. MacMillan']",2
2021,Economic Sciences,"['David Card', 'Joshua D. Angrist', 'Guido W. Imbens']",3
2021,Literature,['Abdulrazak Gurnah'],1
2021,Peace,"['Maria Ressa', 'Dmitry Andreyevich Muratov']",2
2021,Physics,"['Syukuro Manabe', 'Klaus Hasselmann', 'Giorgio Parisi']",3
2021,Physiology or Medicine,"['David Julius', 'Ardem Patapoutian']",2
2022,Chemistry,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",3
2022,Economic Sciences,"['Ben S. Bernanke', 'Douglas W. Diamond', 'Philip H. Dybvig']",3
2022,Literature,['Annie Ernaux'],1
2022,Peace,"['Ales Bialiatski ', 'Memorial', 'Center for Civil Liberties']",3
2022,Physics,"['Alain Aspect', 'John F. Clauser', 'Anton Zeilinger']",3
2022,Physiology or Medicine,['Svante Pääbo'],1
2023,Chemistry,"['Moungi G. Bawendi', 'Louis E. Brus', 'Aleksey Yekimov ']",3
2023,Economic Sciences,['Claudia Goldin'],1
2023,Literature,['Jon Fosse'],1
2023,Peace,['Narges Mohammadi'],1
2023,Physics,"['Pierre Agostini', 'Ferenc Krausz', 'Anne L’Huillier']",3
2023,Physiology or Medicine,"['Katalin Karikó', 'Drew Weissman']",2
2024,Chemistry,"['David Baker', 'Demis Hassabis', 'John Jumper']",3
2024,Economic Sciences,"['Daron Acemoglu', 'Simon Henry Roberts Johnson', 'James A. Robinson']",3
2024,Literature,['Han Kang'],1
2024,Peace,['Nihon Hidankyo'],1
2024,Physics,"['John J. Hopfield', 'Geoffrey Hinton']",2
2024,Physiology or Medicine,"['Victor Ambros', 'Gary Ruvkun']",2
